Nazwa Jednostki,Regon,Dzial,Rozdzial,Grupa,Paragraf,P4,PL,ZA,WW,ZO
Szkoła Podstawowa Nr 2,368245067,801,80150,1400,411,0,22000,21545.9,21545.9,1556.99
Szkoła Podstawowa Nr 2,368245067,801,80150,1400,412,0,3000,2807.15,2807.15,190.22
Szkoła Podstawowa Nr 2,368245067,801,80150,1100,444,0,8040,8039.35,8039.35,0
Szkoła Podstawowa Nr 2,368245067,801,80150,1400,471,0,1000,0,0,0
Szkoła Podstawowa Nr 2,368245067,801,80150,1400,479,0,124515,121353.59,121353.59,0
Szkoła Podstawowa Nr 2,368245067,801,80150,1400,480,0,2720,2707.26,2707.26,9105.16
Szkoła Podstawowa Nr 2,368245067,801,80153,1100,424,0,28614.96,28614.96,28614.96,0
Szkoła Podstawowa Nr 2,368245067,854,85416,1300,324,0,3472,3472,3472,0
Szkoła Podstawowa Nr 1,903334,801,80101,1300,302,0,23141,20554.76,20554.76,0
Szkoła Podstawowa Nr 1,903334,801,80101,1400,401,0,1139083,1133095.7,1099398.93,33696.77
Szkoła Podstawowa Nr 1,903334,801,80101,1400,404,0,68080,68070.8,68070.8,82690.46
Szkoła Podstawowa Nr 1,903334,801,80101,1400,411,0,1009136,967690.16,902268.62,135838.2
Szkoła Podstawowa Nr 1,903334,801,80101,1400,412,0,109345,87811.56,80564.57,13018.51
Szkoła Podstawowa Nr 1,903334,801,80101,1400,417,0,2000,0,0,0
Szkoła Podstawowa Nr 1,903334,801,80101,1100,421,0,134000,133848.99,133848.99,0
Szkoła Podstawowa Nr 1,903334,801,80101,1100,424,0,51833,51767.8,51767.8,0
Szkoła Podstawowa Nr 1,903334,801,80101,1100,426,0,605462,572425.71,507128.26,65297.45
Szkoła Podstawowa Nr 1,903334,801,80101,1100,427,0,75088,74892.36,74584.86,307.5
Szkoła Podstawowa Nr 1,903334,801,80101,1100,428,0,3932,3430,3430,0
Szkoła Podstawowa Nr 1,903334,801,80101,1100,430,0,112805,105122.93,100943.28,4179.65
Szkoła Podstawowa Nr 1,903334,801,80101,1100,436,0,5876,5527.44,5527.44,0
Szkoła Podstawowa Nr 1,903334,801,80101,1100,439,0,1316,271.79,271.79,0
Szkoła Podstawowa Nr 1,903334,801,80101,1100,441,0,1536,394.46,394.46,0
Szkoła Podstawowa Nr 1,903334,801,80101,1100,444,0,348861,348860.51,348860.51,0
Szkoła Podstawowa Nr 1,903334,801,80101,1100,448,0,828,801,801,0
Szkoła Podstawowa Nr 1,903334,801,80101,1100,453,0,514,0,0,0
Szkoła Podstawowa Nr 1,903334,801,80101,1100,470,0,3914,2049,2049,0
Szkoła Podstawowa Nr 1,903334,801,80101,1400,471,0,10000,8606.62,8606.62,684.45
Szkoła Podstawowa Nr 1,903334,801,80101,1400,479,0,4451916,4281568.73,4182664.81,98903.92
Szkoła Podstawowa Nr 1,903334,801,80101,1400,480,0,295620,295618.46,295618.46,326946.76
Szkoła Podstawowa Nr 1,903334,801,80101,1600,605,0,20000,20000,20000,0
Szkoła Podstawowa Nr 1,903334,801,80101,1600,606,0,255300,255300,255300,0
Szkoła Podstawowa Nr 1,903334,801,80107,1300,302,0,644,270,270,0
Szkoła Podstawowa Nr 1,903334,801,80107,1400,411,0,54594,51807.72,48698.81,6199.93
Szkoła Podstawowa Nr 1,903334,801,80107,1400,412,0,4453,3695.08,3434.5,530.72
Szkoła Podstawowa Nr 1,903334,801,80107,1100,428,0,229,50,50,0
Szkoła Podstawowa Nr 1,903334,801,80107,1100,444,0,15074,15073.78,15073.78,0
Szkoła Podstawowa Nr 1,903334,801,80107,1400,471,0,200,0.37,0.37,0
Szkoła Podstawowa Nr 1,903334,801,80107,1400,479,0,285310,271910.71,267084.74,4825.97
Szkoła Podstawowa Nr 1,903334,801,80107,1400,480,0,19400,19309.61,19309.61,17981.56
Szkoła Podstawowa Nr 1,903334,801,80146,1100,430,0,14331,2600,2600,0
Szkoła Podstawowa Nr 1,903334,801,80146,1100,470,0,23886,23882.97,23882.97,0
Szkoła Podstawowa Nr 1,903334,801,80148,1300,302,0,1889,1163.17,1163.17,0
Szkoła Podstawowa Nr 1,903334,801,80148,1400,401,0,315726,314171.09,305076.08,9095.01
Szkoła Podstawowa Nr 1,903334,801,80148,1400,404,0,21170,21162.98,21162.98,23200.67
Szkoła Podstawowa Nr 1,903334,801,80148,1400,411,0,57540,57484.46,51318.01,10154.65
Szkoła Podstawowa Nr 1,903334,801,80148,1400,412,0,7343,6406.83,5768.79,1071.46
Szkoła Podstawowa Nr 1,903334,801,80148,1100,421,0,14255,14249.75,14249.75,0
Szkoła Podstawowa Nr 1,903334,801,80148,1100,422,0,474000,432621.93,432621.93,0
Szkoła Podstawowa Nr 1,903334,801,80148,1100,426,0,1120,495,495,0
Szkoła Podstawowa Nr 1,903334,801,80148,1100,428,0,449,380,380,0
Szkoła Podstawowa Nr 1,903334,801,80148,1100,430,0,5341,4638.65,4325.45,313.2
Szkoła Podstawowa Nr 1,903334,801,80148,1100,444,0,13304,13303.76,13303.76,0
Szkoła Podstawowa Nr 1,903334,801,80148,1400,471,0,200,0,0,0
Szkoła Podstawowa Nr 1,903334,801,80150,1400,411,0,304688,301475.29,291756.35,31573.2
Szkoła Podstawowa Nr 1,903334,801,80150,1400,412,0,39253,37784.19,36203.78,3937.32
Szkoła Podstawowa Nr 1,903334,801,80150,1100,421,0,42223.2,42223.2,42223.2,0
Szkoła Podstawowa Nr 1,903334,801,80150,1100,444,0,98617,98616.05,98616.05,0
Szkoła Podstawowa Nr 1,903334,801,80150,1400,471,0,5424,3677.48,3677.48,276.66
Szkoła Podstawowa Nr 1,903334,801,80150,1400,479,0,1630306,1615626.37,1594677.88,20948.49
Szkoła Podstawowa Nr 1,903334,801,80150,1400,480,0,155020,154983.52,154983.52,127133.83
Szkoła Podstawowa Nr 1,903334,801,80153,1100,424,0,75791.94,75791.94,75791.94,0
Szkoła Podstawowa Nr 1,903334,801,80195,1600,605,0,10000,9991.83,9991.83,0
Szkoła Podstawowa Nr 1,903334,854,85416,1300,324,0,18600,18600,18600,0
Szkoła Podstawowa Nr 6,903280,801,80101,1300,302,0,11547,11542.63,11542.63,0
Szkoła Podstawowa Nr 6,903280,801,80101,1400,401,0,740000,703327.07,689042.44,14284.63
Szkoła Podstawowa Nr 6,903280,801,80101,1400,404,0,53200,53169.21,53169.21,54354.73
Szkoła Podstawowa Nr 6,903280,801,80101,1400,411,0,580012,556812.05,509935.55,94780.59
Szkoła Podstawowa Nr 6,903280,801,80101,1400,412,0,64431,54470.15,49176.72,10096.96
Szkoła Podstawowa Nr 6,903280,801,80101,1400,417,0,6,0,0,0
Szkoła Podstawowa Nr 6,903280,801,80101,1100,421,0,94107,58956.13,58956.13,0
Szkoła Podstawowa Nr 6,903280,801,80101,1100,424,0,19129,19125.6,19125.6,0
Szkoła Podstawowa Nr 6,903280,801,80101,1100,426,0,401300,395155.8,395155.8,0
Szkoła Podstawowa Nr 6,903280,801,80101,1100,427,0,7808,7798.2,7798.2,0
Szkoła Podstawowa Nr 6,903280,801,80101,1100,428,0,4523,4384,4384,0
Szkoła Podstawowa Nr 6,903280,801,80101,1100,430,0,83514,79459.16,79459.16,0
Szkoła Podstawowa Nr 6,903280,801,80101,1100,436,0,3084,2784.34,2784.34,0
Szkoła Podstawowa Nr 6,903280,801,80101,1100,441,0,689,329.4,329.4,0
Szkoła Podstawowa Nr 6,903280,801,80101,1100,444,0,204094,204094,204094,0
Szkoła Podstawowa Nr 6,903280,801,80101,1100,470,0,1506,1478,1478,0
Szkoła Podstawowa Nr 6,903280,801,80101,1400,471,0,6000,5085.74,5085.74,392.74
Szkoła Podstawowa Nr 6,903280,801,80101,1400,479,0,2315317,2274575.6,2210018.08,64557.52
